,ID,Name,Email,Units,Program,Level
75,778788990,"Nelson,Liam",liamn@cpts122.edu,AU,EE,Sophomore
76,889899001,"Nelson,Ava",ava@cpts122.edu,4,CPTE,Senior
77,990900112,"Carter,Daniel",danile@cpts122.edu,4,CS,Freshman
78,101011223,"Carter,Chloe",chloec@cpts122.edu,AU,CS,Sophomore
79,112122334,"Thomas,Benjamin",benjamint@cpts122.edu,4,EE,Junior
80,223233445,"Thomas,Charlotte",charlottet@cpts122.edu,4,CPTE,Senior
81,334344556,"Roberts,Daniel",danile@cpts122.edu,AU,CS,Freshman
82,445455667,"Roberts,Grace",grace@cpts122.edu,4,EE,Sophomore
83,556566778,"Cook,Matthew",matthewc@cpts122.edu,4,CPTE,Junior
84,667677889,"Cook,Scarlett",scarlett@cpts122.edu,4,CS,Senior
85,778788990,"Murphy,David",davidm@cpts122.edu,AU,CPTE,Freshman
86,889899001,"Murphy,Amelia",ameliac@cpts122.edu,4,EE,Junior
87,990900112,"Bailey,Michael",michaelb@cpts122.edu,4,CPTE,Senior
88,101011223,"Bailey,Scarlett",scarlettb@cpts122.edu,AU,EE,Freshman
89,112122334,"Rivera,Liam",liamr@cpts122.edu,4,CS,Sophomore
90,223233445,"Rivera,Chloe",chloer@cpts122.edu,AU,CS,Junior
